Name,Party,State,ID,Score,Chamber
"Tingelstad, Kathy",R,MN,457,0.491,house
"Rosen, Julie",R,MN,107,0.572,senate
"McFarlane, Carol",R,MN,345,0.578,house
Smith,R,MN,437,0.598,house
"Robling, Claire",R,MN,106,0.607,senate
"Heidgerken, Bud",R,MN,259,0.609,house
"Urdahl, Dean",R,MN,464,0.612,house
"McNamara, Denny",R,MN,347,0.623,house
"Michel, Geoff",R,MN,78,0.631,senate
"Gimse, Joseph",R,MN,32,0.638,senate
"Lanning, Morrie",R,MN,309,0.64,house
"Cornish, Tony",R,MN,186,0.654,house
Day,R,MN,18,0.672,senate
"Senjem, David",R,MN,119,0.678,senate
Fischbach,R,MN,25,0.69,senate
Neuville,R,MN,84,0.717,senate
"Berns, John",R,MN,157,0.751,house
Gunther,R,MN,247,0.762,house
"Wergin, Betsy",R,MN,135,0.769,senate
"Hamilton, Rod",R,MN,251,0.809,house
"Ruth, Connie",R,MN,414,0.812,house
"Vandeveer, Ray",R,MN,133,0.821,senate
Olson,R,MN,89,0.822,senate
"Wardlow, Lynn",R,MN,474,0.834,house
"Nornes, Bud",R,MN,370,0.838,house
"Anderson, Sarah",R,MN,148,0.852,house
"Westrom, Torrey",R,MN,483,0.871,house
"Ortman, Julianne",R,MN,92,0.872,senate
"Demmer, Randy",R,MN,200,0.873,house
"Magnus, Doug",R,MN,332,0.879,house
"Jungbauer, Michael",R,MN,45,0.88,senate
"Ingebrigtsen, Bill",R,MN,37,0.888,senate
"Beard, Michael",R,MN,153,0.925,house
"Garofalo, Patrick",R,MN,234,0.951,house
"Simpson, Dean",R,MN,433,0.961,house
"Brod, Laura",R,MN,169,0.964,house
Paulsen,R,MN,388,0.966,house
Koch,R,MN,55,0.976,senate
Pariseau,R,MN,95,0.976,senate
"Johnson, Debbie",R,MN,42,0.982,senate
"Gottwalt, Steve",R,MN,241,1.015,house
Limmer,R,MN,69,1.041,senate
"Hoppe, Joe",R,MN,264,1.066,house
"Seifert, Marty",R,MN,426,1.068,house
"Severson, Daniel",R,MN,429,1.068,house
"Dean, Matt",R,MN,196,1.106,house
Hackbarth,R,MN,250,1.125,house
"Finstad, Brad",R,MN,226,1.126,house
"Hann, David",R,MN,33,1.136,senate
"DeLaForest, Chris",R,MN,198,1.138,house
"Eastlund, Robert",R,MN,213,1.139,house
Zellers,R,MN,492,1.195,house
Erickson,R,MN,219,1.207,house
"Dettmer, Robert",R,MN,202,1.216,house
"Kohls, Paul",R,MN,300,1.243,house
"Olson, M.",R,MN,377,1.256,house
"Holberg, Mary",R,MN,262,1.27,house
"Shimanski, Ron",R,MN,430,1.27,house
Gerlach,R,MN,31,1.349,senate
"Peppin, Joyce",R,MN,394,1.411,house
"Anderson, Bruce",R,MN,143,1.487,house
Drazkowski,R,MN,212,1.523,house
"Buesgens, Mark",R,MN,174,1.546,house
"Emmer, Tom",R,MN,216,1.714,house
